ad_id,origin,condition,car_model,mileage,exterior_color,interior_color,num_of_doors,seating_capacity,engine,fuel_system,transmission,drive_type,fuel_consumption,brand,grade,year_of_manufacture,car_name,price (AUD)
17042,Domestic assembly,New car,Truck,0 Km,White,gray,2-door,2-seat,"Petrol	1.0 L",,Manual,RFD - Rear-wheel drive,L/100Km,Suzuki,Super Carry Truck,2022,Suzuki Super Carry Truck 1.0 MT 2022,10080.99411
53794,Imported,New car,SUV,0 Km,Black,Black,5-door,7-seat,"Petrol	3.4 L",,Automatic,AWD - 4-wheel drive (AWD),"10	L/100Km",Toyota,Land Cruiser,2022,Toyota Land Cruiser 3.5 V6 2022,161943.6805
73954,Domestic assembly,New car,Crossover,0 Km,Silver,Brown,5-door,8-seat,"Petrol	2.0 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2023,Toyota Innova G 2.0 AT 2023 car,35830.0393
74150,Imported,New car,SUV,0 Km,White,Black,5-door,5-seat,"Petrol	1.8 L",,Automatic,FWD - Front-wheel drive,L/100Km,Toyota,Corolla Cross,2023,Toyota Corolla Cross 1.8G 2023,30526.38376
87573,Domestic assembly,New car,Crossover,0 Km,Silver,gray,5-door,8-seat,"Petrol	2.0 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Innova,2022,Toyota Innova G 2.0 AT 2022 car,34413.03209
97011,Domestic assembly,New car,Van/Minivan,0 Km,White,gray,5-door,2-seat,"Petrol	1.0 L",,Manual,RFD - Rear-wheel drive,"7	L/100Km",Suzuki,Super Carry Van,2023,Suzuki Super Carry Van Blind Van 2023,12105.29011
101726,Domestic assembly,New car,SUV,0 Km,White,Black,5-door,7-seat,"Petrol	1.5 L",,Automatic,FWD - Front-wheel drive,L/100Km,Honda,CRV,2023,Honda CRV L 2023 car,39838.14539
135739,Imported,New car,SUV,0 Km,Copper,Black,5-door,7-seat,"Petrol	2.7 L",,Automatic,RFD - Rear-wheel drive,L/100Km,Toyota,Fortuner,2023,Toyota Fortuner 2.7L 4x2 AT 2023,40485.92011
142495,Domestic assembly,New car,4x4,0 Km,Grey,Black,4-door,5-seat,"Diesel	2.2 L",Single turbo oil injection,Automatic,RFD - Rear-wheel drive,"7	L/100Km",Ford,Ranger,2023,Ford Ranger XLS 2.0L 4x2 AT 2023,27854.31303
143308,Domestic assembly,New car,4x4,0 Km,Black,Black,4-door,5-seat,"Diesel	2.2 L",Single turbo oil injection,Automatic,4WD - Four-wheel drive (4WD),"7	L/100Km",Ford,Ranger,2023,Ford Ranger XLT 2.0L 4x4 AT 2023,33603.31369
